ID,Text,Aspects,TokenCount
0,""" upporting carbon capture and sequestration will encourage the growth of fossil fuel industries and continue the injustice of putting profits over communities of color."" There is no time to waste on false climate ""solutions."" We need clean energy now! Deep South Center for Environmental Justice DSCEJ Jun 9, 2022 Today, history has been made. New Orleans is the first municipality in the U.S. to ban carbon capture and storage CSS . Show this thread",,47
1,"""AirNow, an air quality service run by the U.S. Environmental Protection Agency, reports St. Louis had an air quality index score of 137 at a Blair Street meter in north city on Friday, which is ""unhealthy for sensitive groups."" A ""good"" index score would be under 50."" """,,31
2,"""Around the world climate change has led to an increasing frequency of fires, floods, heatwaves, drought, and infectious diseases. ""We must take action on climate - and create a better, more sustainable, and just future for humans and all other species."" Dr Emma-Leigh Synnott",,27
3,"""Capitalism doesn't offer a solution."" No, every single solution that you have now is a result of a capitalism. Even solutions to natural disasters and global warming. Never take anyone who doesn't take nuclear energy as alternative energy source to petroleum seriously.",,25
4,"""Climate change is now reaching the end-game, where very soon humanity must choose between taking unprecedented action, or accepting that it has been left too late and bear the consequences."" HANS JOACHIM SCHELLNHUBER",,20
5,"""Encouraging to see plans get the go ahead for a Solar Park and clean energy business in Buckinghamshire The facility will generate electricity for 1,800 homes and result in a reduction of more than 2,300 tonnes of carbon emissions per year."" bucksherald.co.uk Green light for new Solar Park and energy business between Aylesbury and Tring Plans for a Solar Park and energy business on 20 acres of land at Potash Farm, located between Aylesbury and Tring, have been given the go ahead.",,55
6,"""Further down the road, the short lifespan of these renewable energy power plants ultimately adds to the waste burden being shouldered by the environment. When all parameters are considered, pound for pound, nuclear energy brings the greatest environmental benefits.""",,23
7,"""Fusion is one of the pathways to a clean energy future for which the Office of Science has worked so hard to lay the groundwork."" - Office of Science Director Asmeret Asefaw Berhe at Energy Workshop on Fusion Energy Development via Public-Private Partnerships. ALT",,28
8,"""Germany, one of the global leaders in renewable energy development, only plans to shut down its last coal-fired power plant in 2038 demonstrating the difficulty of switching to clean energy sources. In the meantime, Germany remains the fourth largest consumer of coal "" 1",,29
9,"""Great Britain faces its greatest risk of blackouts for six years this winter as old coal plants and nuclear reactors shut down .. "" It's not that we've become entirely conspirazoid, not entirely adamsmith.org It's not that we've become entirely conspirazoid, not entirely Adam Smith Institute We note two pieces of news, one a day after the other : Great Britain faces its greatest risk of blackouts for six years this winter as old coal plants and nuclear reactors shut down and energy...",,50
10,"""If we are going to do it, we're going to need significant new actions""-Laura Burke, Director General of the Environmental Protection Agency, discusses why Ireland is unlikely to reduce its carbon emissions by 51 compared to 2018 in the next 9 years",,25
11,"""In the last couple years, the U.S. Environmental Protection Agency has looked at some kelp and seaweed fertilizers and decided that they should fall under one of two categories. It s either a plant growth regulator PGR or a plant vitamin hormone.",,24
12,"""Iranian newspaper clip from 1968 reads: ""A quarter of Iran's Nuclear Energy scientists are women."" The photograph shows some female Iranian PhDs posing in front of Tehran's research reactor"" The text above and the picture below are from Wikipedia",,24
13,"""It was nuclear energy that drove the elimination of coal power in Ontario over the past twenty years."" - Jennifer Frees, Senior VP, Business Development, TRBOT kicking things off.",,19
14,"""Nuclear power has a key role on clean energy. We may consider continuing the use existing power plants or start building new ones. There is strong support for the use of nuclear energy in Finland"" said MikaLintila at the opening event of tem.fi Minister Lintil : Nuclear power offers solutions for phasing out fossil energy - Ministry of...",,39
15,"""Offshore wind has enormous climate potential...Mass. has the highest technical capacity to produce offshore wind in the nation."" But we have to invest quickly. SusannahHatch , ELM's Director of Clean Energy Policy, joins for their opening panel on",,24
16,"""Raising awareness"" is not a political act which is why so many environmental NGOs say it is their primary goal",,10
17,"""The Environmental Protection Agency announced it would repeal a Trump-era rule that weakened pollution controls for wetlands and streams."" nytimes",,15
18,"""The House of Representatives has adopted my motion on energy! There is now a majority that basically says: nuclear energy is sustainable."" Silvio Erkens SilvioErkens Jun 10, 2021 De Tweede Kamer heeft mijn motie over kernenergie aangenomen! Er is nu een meerderheid die in feite zegt: kernenergie is duurzaam. Met deze boodschap moet het kabinet naar Brussel, om te zorgen dat kernenergie op de EU-lijst van duurzame technologie n komt. VVD",,57
19,"""The US produces less oil now, and that's why prices are high."" This is measurably untrue, we are already back to 2018 levels with the only real dip being from COVID. As a Climate Change advocate I'm not particularly happy about this fact- but it's a fact.",,22
20,"""U.S. Environmental Protection Agency EPA has recommended that the Army Corps of Engineers Corps NOT issue a Clean Water Act permit to allow the Mountain Valley Pipeline to dig and blast through hundreds of waterbodies in Virginia and West Va. h t Wild Virginia",,29
21,"""Unless this cancer-causing weedkiller is banned by the Environmental Protection Agency or Bayer cuts its losses and stops making it, people will continue to be exposed and risk serious illness."" commondreams.org As Bayer Considers Ending Some US Glyphosate Sales, Campaigners Urge EPA to Enact Full Ban ""Unless this cancer-causing weedkiller is banned by the Environmental Protection Agency or Bayer cuts its losses and stops making it, people will continue to be exposed and risk serious illness.""",,52
22,"""We love nature"" ""permanently ban campfires"" are two jigsaw puzzle pieces that not only never fit together, they're not even part of the same picture. You want REAL solutions to climate issues HeatherRochfort ? Let's talk about nuclear energy. Nothing else even comes close. Heather Balogh Rochfort HeatherRochfort Jun 22, 2021 Unpopular opinion: permanently ban campfires. Climate change isn t going away, temps are only rising, and humans have proven that we can t have nice things. Other than selfish comfort, nothing good comes from campfires",,58
23,"""We must confront the climate crisis using a smart mix of solutions, including clean energy and carbon management tools, to reduce greenhouse gas emissions and remove existing, legacy carbon from the atmosphere."" RealClearEnergy Read more realclearenergy.org Forging a More Just Approach to Carbon Management The debate over carbon management has created fissures in the conservation community. The most recent report from Intergovernmental Panel on Climate Change underscores again that we are running",,46
24,"""While recycling aluminum has a significantly lower carbon footprint than primary aluminum, it still requires 5 of energy and having access to clean energy sources is critical for this part of the industry"" Steve Fisher, CEO 5",,23
25,"""doomerism"" around climate collapse, to be honest, is less of a problem than ""optimism in our structures"" is. kids dont need other people telling them climate change will destroy their world. they know it will. kids arent ignorant. the liberal backlash against ""doomerism"" is K IbaraEleven Jun 9 Ignore the evidence of your eyes and ears.",,33
26,"""tuna song"" yes, that tuna song that became a viral sensation around the world, was used by many organizations to create environmental awareness, by government itself, by brands for promotional projects and rebranding purposes and now has reached a new peak of on WW iTunes",,27
27,"- 2015 Monday: To reduce carbon dioxide emissions by 32-percent of the 2005 levels, President Barack Obama proposes the Clean Power Act, which is more stringent than the plan offered by the Environmental Protection Agency by 30-percent. 1",,26
28,". AGAlanWilson and a coalition of 15 other states have joined in urging the U.S. Environmental Protection Agency to not reinstate California s waiver under the Clean Air Act, which unconstitutionally allows California to regulate which cars we may drive.",,23
29,". DonaldPayneJr understands the importance of maximizing energy efficiency to lower household energy costs, mitigating climate impacts, and transitioning to a clean energy economy. is proud to support him for reelection in ALT",,21
